composition          ,hardness ,load
Al1.5Si1.5N2.5O1.5   ,     0.0 ,0.98
AlMgB14              ,     0.0 ,0.98
AlN                  ,     0.0 ,0.98
AlSb                 ,     0.0 ,0.98
AuTiAl               ,     0.0 ,0.98
B13N2                ,     0.0 ,0.98
B6O                  ,     0.0 ,0.98
Be12Nb               ,     0.0 ,0.98
Be12Ta               ,     0.0 ,0.98
Be2B                 ,     0.0 ,0.98
Cd2Gd                ,     0.0 ,0.98
Cd3Gd                ,     0.0 ,0.98
Cd45Gd11             ,     0.0 ,0.98
Cd6Gd                ,     0.0 ,0.98
CdGd                 ,     0.0 ,0.98
Cr0.05W0.95B4        ,     0.0 ,0.98
Cr0.3W0.7B4          ,     0.0 ,0.98
Cr0.5W0.5B4          ,     0.0 ,0.98
Cr11Ge19             ,     0.0 ,0.98
Cr11Ge8              ,     0.0 ,0.98
Cr2.4W0.6B4          ,     0.0 ,0.98
Cr2.55Mo0.45B4       ,     0.0 ,0.98
Cr2.58Ta0.42B4       ,     0.0 ,0.98
Cr2.67V0.33B4        ,     0.0 ,0.98
Cr2.79Nb0.21B4       ,     0.0 ,0.98
Cr2.91Ti0.09B4       ,     0.0 ,0.98
Cr2B3                ,     0.0 ,0.98
Cr3B4                ,     0.0 ,0.98
Cr5Ge3               ,     0.0 ,0.98
CrB                  ,     0.0 ,0.98
CrB4                 ,     0.0 ,0.98
CrGe                 ,     0.0 ,0.98
Cu2.5LaNi2.5         ,     0.0 ,0.98
Cu4Y0.1Yb0.9In       ,     0.0 ,0.98
Cu4YbIn              ,     0.0 ,0.98
Cu4YIn               ,     0.0 ,0.98
Cu5Gd                ,     0.0 ,0.98
Cu5Nd                ,     0.0 ,0.98
Cu6Gd                ,     0.0 ,0.98
CuEu2                ,     0.0 ,0.98
ErPd2Ge              ,     0.0 ,0.98
ErRh3B               ,     0.0 ,0.98
ErRh4B4              ,     0.0 ,0.98
EuB6                 ,     0.0 ,0.98
Gd2Co17              ,     0.0 ,0.98
GdCo2                ,     0.0 ,0.98
GdCo3                ,     0.0 ,0.98
GdCo5                ,     0.0 ,0.98
Hf0.04W0.96B4        ,     0.0 ,0.98
Hf0.1W0.9B4          ,     0.0 ,0.98
Hf0.3W0.7B4          ,     0.0 ,0.98
Hf0.5W0.5B4          ,     0.0 ,0.98
Hf2Ge                ,     0.0 ,0.98
Hf3Ge                ,     0.0 ,0.98
Hf3Ge2               ,     0.0 ,0.98
Hf5Ge3               ,     0.0 ,0.98
HfC                  ,     0.0 ,0.98
HfGe                 ,     0.0 ,0.98
HfGe2                ,     0.0 ,0.98
HfV16Ge31            ,     0.0 ,0.98
HfW2                 ,     0.0 ,0.98
HoPd3                ,     0.0 ,0.98
InBi0.024Sb0.976     ,     0.0 ,0.98
IrB1.35              ,     0.0 ,0.98
LaCo0.75Ni3.95Al0.3  ,     0.0 ,0.98
LaCo2.5Ni2.5         ,     0.0 ,0.98
Lu2Fe14C             ,     0.0 ,0.98
LuAl3                ,     0.0 ,0.98
MgB2                 ,     0.0 ,0.98
Mn0.04W0.96B4        ,     0.0 ,0.98
Mn0.3W0.7B4          ,     0.0 ,0.98
Mn0.5W0.5B4          ,     0.0 ,0.98
Mn5Si3               ,     0.0 ,0.98
MnSi                 ,     0.0 ,0.98
Mo0.03W0.97B4        ,     0.0 ,0.98
Mo0.1W0.9B4          ,     0.0 ,0.98
Mo0.5W0.5B4          ,     0.0 ,0.98
Mo0.65Os0.35         ,     0.0 ,0.98
Mo3.2Pt0.8           ,     0.0 ,0.98
Mo3Fe3N              ,     0.0 ,0.98
Mo3Ni2N              ,     0.0 ,0.98
Mo3Os                ,     0.0 ,0.98
Mo3Pt2N              ,     0.0 ,0.98
MoPt                 ,     0.0 ,0.98
Nb                   ,     0.0 ,0.98
Nb0.67Al0.33         ,     0.0 ,0.98
Nb0.95Al0.05         ,     0.0 ,0.98
Nb2Al                ,     0.0 ,0.98
Nb3Ge                ,     0.0 ,0.98
Nb3Sn                ,     0.0 ,0.98
Nb3Sn0.5Ge0.5        ,     0.0 ,0.98
Nb5Ga3               ,     0.0 ,0.98
Nb5GaSn2             ,     0.0 ,0.98
Nb5Ge3               ,     0.0 ,0.98
NbGe2                ,     0.0 ,0.98
NdPd2Ge              ,     0.0 ,0.98
NdRh3B               ,     0.0 ,0.98
Os2Si3               ,     0.0 ,0.98
OsSi                 ,     0.0 ,0.98
Pd20Te7              ,     0.0 ,0.98
Pd3.5Te              ,     0.0 ,0.98
Pd3Te2               ,     0.0 ,0.98
Pd9Te4               ,     0.0 ,0.98
PrB6                 ,     0.0 ,0.98
Re0.6W0.4B2          ,     0.0 ,0.98
Re0.9Si0.1           ,     0.0 ,0.98
Re2Si                ,     0.0 ,0.98
Re3B                 ,     0.0 ,0.98
Re7B3                ,     0.0 ,0.98
ReB2                 ,     0.0 ,0.98
ReSi                 ,     0.0 ,0.98
ReSi2                ,     0.0 ,0.98
Rh20Si13             ,     0.0 ,0.98
Rh2Si                ,     0.0 ,0.98
Rh3Si2               ,     0.0 ,0.98
Rh3Si4               ,     0.0 ,0.98
Rh4Si5               ,     0.0 ,0.98
Rh5Si3               ,     0.0 ,0.98
RhSi                 ,     0.0 ,0.98
Ru2Ge3               ,     0.0 ,0.98
RuB2                 ,     0.0 ,0.98
Sc0.05Y0.95B12       ,     0.0 ,0.98
Sc0.05Zr0.95B12      ,     0.0 ,0.98
Sc0.25Y0.75B12       ,     0.0 ,0.98
Sc0.25Zr0.75B12      ,     0.0 ,0.98
Sc0.5Y0.5B12         ,     0.0 ,0.98
Sc0.5Zr0.5B12        ,     0.0 ,0.98
Sc0.8Y0.2B12         ,     0.0 ,0.98
Sc0.8Zr0.2B12        ,     0.0 ,0.98
Sc2ReB6              ,     0.0 ,0.98
ScB12                ,     0.0 ,0.98
ScRu2                ,     0.0 ,0.98
ScSi1.67             ,     0.0 ,0.98
Si2N2O               ,     0.0 ,0.98
Si3N4                ,     0.0 ,0.98
SiO2                 ,     0.0 ,0.98
Sm2O3                ,     0.0 ,0.98
SmB6                 ,     0.0 ,0.98
SmPd2Ge              ,     0.0 ,0.98
Ta0.01W0.99B         ,     0.0 ,0.98
Ta0.03W0.97B4        ,     0.0 ,0.98
Ta0.04W0.96B4        ,     0.0 ,0.98
Ta0.1W0.9B           ,     0.0 ,0.98
Ta0.1W0.9B4          ,     0.0 ,0.98
Ta0.25W0.75B         ,     0.0 ,0.98
Ta0.3W0.7B4          ,     0.0 ,0.98
Ta0.5W0.5B4          ,     0.0 ,0.98
TaC                  ,     0.0 ,0.98
TbB6                 ,     0.0 ,0.98
TbPd2Ge              ,     0.0 ,0.98
ThB66                ,     0.0 ,0.98
ThCo3Al2             ,     0.0 ,0.98
ThFe3Al2             ,     0.0 ,0.98
ThMn3Al2             ,     0.0 ,0.98
ThPt5                ,     0.0 ,0.98
ThRe2                ,     0.0 ,0.98
Ti0.08W0.92B4        ,     0.0 ,0.98
Ti0.1W0.9B4          ,     0.0 ,0.98
Ti0.3W0.7B4          ,     0.0 ,0.98
Ti0.5Nb0.5N          ,     0.0 ,0.98
Ti0.89Al0.11         ,     0.0 ,0.98
Ti3Al                ,     0.0 ,0.98
Ti5Ge3               ,     0.0 ,0.98
TiC                  ,     0.0 ,0.98
TiGe2                ,     0.0 ,0.98
TiMn2                ,     0.0 ,0.98
TiN                  ,     0.0 ,0.98
V0.25Re0.75          ,     0.0 ,0.98
V0.8Re0.2            ,     0.0 ,0.98
V1.16Re2.84          ,     0.0 ,0.98
V11Ge8               ,     0.0 ,0.98
V17Ge31              ,     0.0 ,0.98
V3Ga                 ,     0.0 ,0.98
V3Ge                 ,     0.0 ,0.98
V5Ge3                ,     0.0 ,0.98
V6Ga5                ,     0.0 ,0.98
VO0.33               ,     0.0 ,0.98
W0.35Os0.65          ,     0.0 ,0.98
W0.5Dy0.5B11.6       ,     0.0 ,0.98
W0.5Er0.5B11.6       ,     0.0 ,0.98
W0.5Gd0.5B11.6       ,     0.0 ,0.98
W0.5Ho0.5B11.6       ,     0.0 ,0.98
W0.5Nb0.5B2.1        ,     0.0 ,0.98
W0.5Sc0.5B11.6       ,     0.0 ,0.98
W0.5Ta0.5B           ,     0.0 ,0.98
W0.5Ta0.5B2.1        ,     0.0 ,0.98
W0.5Tb0.5B11.6       ,     0.0 ,0.98
W0.5Y0.5B11.6        ,     0.0 ,0.98
W0.6Nb0.4B2.1        ,     0.0 ,0.98
W0.75Sc0.25B11.6     ,     0.0 ,0.98
W0.88Ta0.02Cr0.1B4   ,     0.0 ,0.98
W0.88Ta0.02Mn0.1B4   ,     0.0 ,0.98
W0.8Dy0.2B11.6       ,     0.0 ,0.98
W0.8Er0.2B11.6       ,     0.0 ,0.98
W0.8Gd0.2B11.6       ,     0.0 ,0.98
W0.8Ho0.2B11.6       ,     0.0 ,0.98
W0.8Nb0.2B2.1        ,     0.0 ,0.98
W0.8Sc0.2B11.6       ,     0.0 ,0.98
W0.8Ta0.2B2.1        ,     0.0 ,0.98
W0.8Tb0.2B11.6       ,     0.0 ,0.98
W0.8Y0.2B11.6        ,     0.0 ,0.98
W0.93Ta0.02Cr0.05B4  ,     0.0 ,0.98
W0.94Ta0.02Mn0.04B4  ,     0.0 ,0.98
W0.94Ta0.06B2.1      ,     0.0 ,0.98
W0.9Dy0.1B11.6       ,     0.0 ,0.98
W0.9Er0.1B11.6       ,     0.0 ,0.98
W0.9Gd0.1B11.6       ,     0.0 ,0.98
W0.9Ho0.1B11.6       ,     0.0 ,0.98
W0.9Nb0.1B2.1        ,     0.0 ,0.98
W0.9Sc0.1B11.6       ,     0.0 ,0.98
W0.9Ta0.1B2.1        ,     0.0 ,0.98
W0.9Tb0.1B11.6       ,     0.0 ,0.98
W0.9Y0.1B11.6        ,     0.0 ,0.98
W2C                  ,     0.0 ,0.98
WB11.6               ,     0.0 ,0.98
WB2.1                ,     0.0 ,0.98
WB4                  ,     0.0 ,0.98
Y0.05Sc0.95CrB4      ,     0.0 ,0.98
Y0.05Sc1.95ReB6      ,     0.0 ,0.98
Y0.25Hf0.25Gd0.5B20  ,     0.0 ,0.98
Y0.25Hf0.5Gd0.25B20  ,     0.0 ,0.98
Y0.25Hf0.75B20       ,     0.0 ,0.98
Y0.25Sc0.75CrB4      ,     0.0 ,0.98
Y0.25Sc1.75ReB6      ,     0.0 ,0.98
Y0.25Zr0.75B12       ,     0.0 ,0.98
Y0.5Hf0.25Gd0.25B20  ,     0.0 ,0.98
Y0.5Sc0.5CrB4        ,     0.0 ,0.98
Y0.5Sc1.5ReB6        ,     0.0 ,0.98
Y0.5Zr0.5B12         ,     0.0 ,0.98
Y0.75Sc0.25CrB4      ,     0.0 ,0.98
Y0.75Sc1.25ReB6      ,     0.0 ,0.98
Y0.75Zr0.25B12       ,     0.0 ,0.98
Y0.95Sc0.05CrB4      ,     0.0 ,0.98
Y1.25Sc0.75ReB6      ,     0.0 ,0.98
Y1.5Sc0.5ReB6        ,     0.0 ,0.98
Y1.75Sc0.25ReB6      ,     0.0 ,0.98
Y1.95Sc0.05ReB6      ,     0.0 ,0.98
Y2Re0.5Cr0.5B6       ,     0.0 ,0.98
Y2Re0.75Cr0.25B6     ,     0.0 ,0.98
Y2Re0.95Cr0.05B6     ,     0.0 ,0.98
Y2ReB6               ,     0.0 ,0.98
Yb0.5Lu0.5Al3        ,     0.0 ,0.98
YB12                 ,     0.0 ,0.98
YB20                 ,     0.0 ,0.98
YCrB4                ,     0.0 ,0.98
YRe0.25Cr0.75B4      ,     0.0 ,0.98
YRe0.5Cr0.5B4        ,     0.0 ,0.98
YRe0.75Cr0.25B4      ,     0.0 ,0.98
YRe0.95Cr0.05B4      ,     0.0 ,0.98
YReB4                ,     0.0 ,0.98
YScReB6              ,     0.0 ,0.98
Zr0.04W0.96B4        ,     0.0 ,0.98
Zr0.06W0.94B4        ,     0.0 ,0.98
Zr0.08W0.92B4        ,     0.0 ,0.98
Zr0.1W0.9B4          ,     0.0 ,0.98
Zr0.25Hf0.25Gd0.5B20 ,     0.0 ,0.98
Zr0.25Hf0.25Y0.5B20  ,     0.0 ,0.98
Zr0.25Hf0.5Gd0.25B20 ,     0.0 ,0.98
Zr0.25Hf0.5Y0.25B20  ,     0.0 ,0.98
Zr0.25Y0.25Gd0.5B20  ,     0.0 ,0.98
Zr0.25Y0.5Gd0.25B20  ,     0.0 ,0.98
Zr0.2Nb2.8Sn0.5Ge0.5 ,     0.0 ,0.98
Zr0.2W0.8B4          ,     0.0 ,0.98
Zr0.5Gd0.5B12        ,     0.0 ,0.98
Zr0.5Hf0.25Gd0.25B20 ,     0.0 ,0.98
Zr0.5Hf0.25Y0.25B20  ,     0.0 ,0.98
Zr0.5W0.5B4          ,     0.0 ,0.98
Zr0.5Y0.25Gd0.25B20  ,     0.0 ,0.98
Zr0.75Gd0.25B12      ,     0.0 ,0.98
Zr0.8Mo2Ge0.2        ,     0.0 ,0.98
Zr0.95Gd0.05B12      ,     0.0 ,0.98
Zr0.9Mo2Al0.1        ,     0.0 ,0.98
Zr0.9Nb2.1Sn         ,     0.0 ,0.98
Zr2Rh                ,     0.0 ,0.98
Zr3Ge                ,     0.0 ,0.98
Zr5Ge3               ,     0.0 ,0.98
Zr5Ge4               ,     0.0 ,0.98
ZrB12                ,     0.0 ,0.98
ZrB20                ,     0.0 ,0.98
ZrGe                 ,     0.0 ,0.98
ZrGe2                ,     0.0 ,0.98
ZrMn2                ,     0.0 ,0.98
ZrMo2                ,     0.0 ,0.98
ZrMoAl               ,     0.0 ,0.98
ZrO2                 ,     0.0 ,0.98
ZrRh3                ,     0.0 ,0.98
ZrV2                 ,     0.0 ,0.98
ZrW2                 ,     0.0 ,0.98
